run_id,type,final_t,final_nS,final_nR,max_nS,max_nR,total_steps,eradicated,resistance,mean_k2,total_kl_cost
0,uncontrolled,39.99982,0,1103,50,1104,2614,0,1,1.5,0.0
1,uncontrolled,39.99994,0,9670,50,9670,21083,0,1,1.5,0.0
2,uncontrolled,8.88407,0,0,50,4,215,1,0,1.5,0.0
3,uncontrolled,10.22612,0,0,51,1,311,1,0,1.5,0.0
4,uncontrolled,39.99996,0,144876,52,144879,318541,0,1,1.5,0.0
5,uncontrolled,39.99988,0,27610,51,27610,61053,0,1,1.5,0.0
6,uncontrolled,39.99999,0,80813,50,80813,179360,0,1,1.5,0.0
7,uncontrolled,39.99991,0,17135,51,17135,37596,0,1,1.5,0.0
8,uncontrolled,4.98734,0,0,52,1,177,1,0,1.5,0.0
9,uncontrolled,40.0,0,20825,50,20825,45380,0,1,1.5,0.0
10,uncontrolled,39.99836,0,139,50,139,460,0,1,1.5,0.0
11,uncontrolled,39.99993,0,7765,51,7765,17222,0,1,1.5,0.0
12,uncontrolled,4.23568,0,0,52,1,167,1,0,1.5,0.0
13,uncontrolled,39.99995,0,123264,50,123265,271051,0,1,1.5,0.0
14,uncontrolled,39.99935,0,9700,51,9701,21291,0,1,1.5,0.0
15,uncontrolled,4.4615,0,0,53,1,173,1,0,1.5,0.0
16,uncontrolled,7.32081,0,0,50,1,231,1,0,1.5,0.0
17,uncontrolled,5.54267,0,0,52,1,113,1,0,1.5,0.0
18,uncontrolled,7.64781,0,0,50,1,297,1,0,1.5,0.0
19,uncontrolled,39.99993,0,86380,51,86382,189118,0,1,1.5,0.0
20,uncontrolled,4.25721,0,0,51,1,133,1,0,1.5,0.0
21,uncontrolled,5.66261,0,0,53,1,159,1,0,1.5,0.0
22,uncontrolled,39.99995,0,47664,50,47664,106111,0,1,1.5,0.0
23,uncontrolled,39.9999,0,7889,51,7889,17234,0,1,1.5,0.0
24,uncontrolled,39.99999,0,26234,50,26235,57673,0,1,1.5,0.0
25,uncontrolled,40.0,0,66903,51,66903,148034,0,1,1.5,0.0
26,uncontrolled,23.2238,0,0,50,5,181,1,0,1.5,0.0
27,uncontrolled,5.16488,0,0,50,1,139,1,0,1.5,0.0
28,uncontrolled,5.25314,0,0,52,1,111,1,0,1.5,0.0
29,uncontrolled,4.83506,0,0,50,1,167,1,0,1.5,0.0
30,uncontrolled,39.99995,0,18454,58,18454,40747,0,1,1.5,0.0
31,uncontrolled,4.4706,0,0,54,2,149,1,0,1.5,0.0
32,uncontrolled,40.0,0,100739,54,100740,221104,0,1,1.5,0.0
33,uncontrolled,39.99996,0,27631,52,27633,60766,0,1,1.5,0.0
34,uncontrolled,7.54604,0,0,50,1,153,1,0,1.5,0.0
35,uncontrolled,39.99996,0,44335,50,44335,98736,0,1,1.5,0.0
36,uncontrolled,39.99973,0,3877,50,3878,8707,0,1,1.5,0.0
37,uncontrolled,39.99999,0,77872,54,77872,172189,0,1,1.5,0.0
38,uncontrolled,39.99999,0,198638,52,198638,437283,0,1,1.5,0.0
39,uncontrolled,40.0,0,41634,50,41634,91709,0,1,1.5,0.0
40,uncontrolled,39.99999,0,13132,50,13135,28881,0,1,1.5,0.0
41,uncontrolled,39.99973,0,17440,51,17442,38703,0,1,1.5,0.0
42,uncontrolled,8.18256,0,0,50,1,139,1,0,1.5,0.0
43,uncontrolled,39.99887,0,3689,50,3689,8274,0,1,1.5,0.0
44,uncontrolled,39.99982,0,16072,51,16074,35441,0,1,1.5,0.0
45,uncontrolled,39.99997,0,13865,52,13865,30637,0,1,1.5,0.0
46,uncontrolled,11.88854,0,0,50,2,129,1,0,1.5,0.0
47,uncontrolled,8.22102,0,0,50,3,254,1,0,1.5,0.0
48,uncontrolled,5.48687,0,0,51,1,127,1,0,1.5,0.0
49,uncontrolled,39.99989,0,52039,53,52039,114356,0,1,1.5,0.0
50,uncontrolled,39.99998,0,19038,51,19039,42961,0,1,1.5,0.0
51,uncontrolled,39.9998,0,11117,50,11119,24785,0,1,1.5,0.0
52,uncontrolled,39.99989,0,23994,58,23994,52084,0,1,1.5,0.0
53,uncontrolled,8.58432,0,0,53,1,163,1,0,1.5,0.0
54,uncontrolled,40.0,0,48873,51,48873,107814,0,1,1.5,0.0
55,uncontrolled,4.59444,0,0,53,1,207,1,0,1.5,0.0
56,uncontrolled,39.99999,0,21750,51,21751,48239,0,1,1.5,0.0
57,uncontrolled,39.99996,0,51076,53,51076,114277,0,1,1.5,0.0
58,uncontrolled,7.84671,0,0,51,1,167,1,0,1.5,0.0
59,uncontrolled,39.99984,0,9234,53,9234,21035,0,1,1.5,0.0
60,uncontrolled,6.74481,0,0,50,1,187,1,0,1.5,0.0
61,uncontrolled,5.43254,0,0,52,1,145,1,0,1.5,0.0
62,uncontrolled,39.99979,0,2082,52,2082,4697,0,1,1.5,0.0
63,uncontrolled,7.18135,0,0,51,2,177,1,0,1.5,0.0
64,uncontrolled,10.82095,0,0,50,4,101,1,0,1.5,0.0
65,uncontrolled,39.99969,0,14253,50,14254,31416,0,1,1.5,0.0
66,uncontrolled,39.99999,0,33472,54,33472,73537,0,1,1.5,0.0
67,uncontrolled,40.0,0,115917,53,115920,255042,0,1,1.5,0.0
68,uncontrolled,39.99999,0,30026,50,30026,66839,0,1,1.5,0.0
69,uncontrolled,12.02621,0,0,50,2,191,1,0,1.5,0.0
70,uncontrolled,5.84333,0,0,51,1,221,1,0,1.5,0.0
71,uncontrolled,39.99982,0,3396,51,3397,7393,0,1,1.5,0.0
72,uncontrolled,24.64416,0,0,52,7,186,1,1,1.5,0.0
73,uncontrolled,39.99995,0,50850,50,50850,111850,0,1,1.5,0.0
74,uncontrolled,2.84106,0,0,55,1,137,1,0,1.5,0.0
75,uncontrolled,39.99989,0,20935,50,20935,46432,0,1,1.5,0.0
76,uncontrolled,5.20875,0,0,52,1,215,1,0,1.5,0.0
77,uncontrolled,39.99998,0,39666,52,39666,87495,0,1,1.5,0.0
78,uncontrolled,39.99985,0,11472,51,11472,25209,0,1,1.5,0.0
79,uncontrolled,5.93242,0,0,51,1,169,1,0,1.5,0.0
80,uncontrolled,39.99999,0,78416,50,78416,174319,0,1,1.5,0.0
81,uncontrolled,4.36399,0,0,52,1,153,1,0,1.5,0.0
82,uncontrolled,3.97931,0,0,50,1,163,1,0,1.5,0.0
83,uncontrolled,40.0,0,112959,51,112959,249429,0,1,1.5,0.0
84,uncontrolled,39.99994,0,39325,50,39325,88002,0,1,1.5,0.0
85,uncontrolled,5.96771,0,0,51,3,143,1,0,1.5,0.0
86,uncontrolled,39.99513,0,212,50,214,719,0,1,1.5,0.0
87,uncontrolled,39.99993,0,34483,50,34483,75068,0,1,1.5,0.0
88,uncontrolled,39.99977,0,8200,50,8200,18175,0,1,1.5,0.0
89,uncontrolled,6.84215,0,0,51,1,201,1,0,1.5,0.0
90,uncontrolled,39.99999,0,37007,51,37007,82106,0,1,1.5,0.0
91,uncontrolled,40.0,0,43038,52,43038,94791,0,1,1.5,0.0
92,uncontrolled,39.99997,0,87395,51,87395,191606,0,1,1.5,0.0
93,uncontrolled,39.99938,0,2662,50,2664,6201,0,1,1.5,0.0
94,uncontrolled,7.77851,0,0,53,2,199,1,0,1.5,0.0
95,uncontrolled,39.99996,0,34750,50,34750,76081,0,1,1.5,0.0
96,uncontrolled,39.99997,0,13956,50,13957,31223,0,1,1.5,0.0
97,uncontrolled,39.99995,0,52225,50,52225,114293,0,1,1.5,0.0
98,uncontrolled,39.99983,0,8986,51,8986,19727,0,1,1.5,0.0
99,uncontrolled,39.99996,0,12424,50,12424,27535,0,1,1.5,0.0
100,uncontrolled,39.99992,0,29826,51,29827,66107,0,1,1.5,0.0
101,uncontrolled,5.22738,0,0,53,2,196,1,0,1.5,0.0
102,uncontrolled,6.48693,0,0,50,1,228,1,0,1.5,0.0
103,uncontrolled,39.99991,0,19190,50,19190,41975,0,1,1.5,0.0
104,uncontrolled,6.26186,0,0,51,1,210,1,0,1.5,0.0
105,uncontrolled,39.99982,0,19030,54,19033,42577,0,1,1.5,0.0
106,uncontrolled,39.99997,0,53218,51,53218,117920,0,1,1.5,0.0
107,uncontrolled,39.99929,0,9979,50,9979,22138,0,1,1.5,0.0
108,uncontrolled,39.99992,0,35061,50,35061,76660,0,1,1.5,0.0
109,uncontrolled,39.9999,0,14131,50,14131,31135,0,1,1.5,0.0
110,uncontrolled,4.41794,0,0,50,1,99,1,0,1.5,0.0
111,uncontrolled,39.99983,0,17258,50,17258,37841,0,1,1.5,0.0
112,uncontrolled,39.99997,0,19117,53,19117,42771,0,1,1.5,0.0
113,uncontrolled,39.99995,0,37511,50,37512,83199,0,1,1.5,0.0
114,uncontrolled,8.63237,0,0,50,1,165,1,0,1.5,0.0
115,uncontrolled,39.99998,0,78314,50,78314,172118,0,1,1.5,0.0
116,uncontrolled,39.9995,0,2709,51,2709,6188,0,1,1.5,0.0
117,uncontrolled,39.9999,0,28235,50,28235,61804,0,1,1.5,0.0
118,uncontrolled,5.96037,0,0,50,1,171,1,0,1.5,0.0
119,uncontrolled,39.99081,0,180,53,181,647,0,1,1.5,0.0
120,uncontrolled,39.99915,0,8428,54,8429,18621,0,1,1.5,0.0
121,uncontrolled,39.99994,0,26173,52,26173,57430,0,1,1.5,0.0
122,uncontrolled,39.99995,0,15047,50,15048,33618,0,1,1.5,0.0
123,uncontrolled,39.99978,0,9192,50,9192,20276,0,1,1.5,0.0
124,uncontrolled,39.99997,0,27239,52,27239,60291,0,1,1.5,0.0
125,uncontrolled,4.0937,0,0,53,1,163,1,0,1.5,0.0
126,uncontrolled,39.99992,0,60035,50,60036,131408,0,1,1.5,0.0
127,uncontrolled,5.7501,0,0,52,3,219,1,0,1.5,0.0
128,uncontrolled,39.99997,0,151172,50,151172,331963,0,1,1.5,0.0
129,uncontrolled,39.99979,0,3021,50,3022,6608,0,1,1.5,0.0
130,uncontrolled,6.84611,0,0,50,3,121,1,0,1.5,0.0
131,uncontrolled,39.99997,0,36058,51,36058,79307,0,1,1.5,0.0
132,uncontrolled,3.86729,0,0,51,1,127,1,0,1.5,0.0
133,uncontrolled,39.99999,0,33330,55,33330,72847,0,1,1.5,0.0
134,uncontrolled,39.99989,0,7797,50,7797,17492,0,1,1.5,0.0
135,uncontrolled,39.99999,0,12254,50,12254,26862,0,1,1.5,0.0
136,uncontrolled,3.8305,0,0,50,1,147,1,0,1.5,0.0
137,uncontrolled,39.99954,0,4851,51,4859,10676,0,1,1.5,0.0
138,uncontrolled,5.96356,0,0,51,1,163,1,0,1.5,0.0
139,uncontrolled,6.27288,0,0,51,2,169,1,0,1.5,0.0
140,uncontrolled,39.99988,0,4138,56,4139,9392,0,1,1.5,0.0
141,uncontrolled,4.68684,0,0,51,1,109,1,0,1.5,0.0
142,uncontrolled,39.99999,0,7504,51,7506,16453,0,1,1.5,0.0
143,uncontrolled,8.99407,0,0,52,3,187,1,0,1.5,0.0
144,uncontrolled,39.99993,0,25025,50,25025,54980,0,1,1.5,0.0
145,uncontrolled,39.99999,0,73590,50,73590,162398,0,1,1.5,0.0
146,uncontrolled,39.99967,0,5937,50,5937,13071,0,1,1.5,0.0
147,uncontrolled,5.14642,0,0,50,1,171,1,0,1.5,0.0
148,uncontrolled,39.99989,0,8543,50,8544,19002,0,1,1.5,0.0
149,uncontrolled,5.05199,0,0,50,1,141,1,0,1.5,0.0
150,uncontrolled,5.35182,0,0,53,3,195,1,0,1.5,0.0
151,uncontrolled,39.99935,0,9769,50,9770,21703,0,1,1.5,0.0
152,uncontrolled,39.99978,0,23692,50,23695,52519,0,1,1.5,0.0
153,uncontrolled,4.62225,0,0,52,1,211,1,0,1.5,0.0
154,uncontrolled,39.99998,0,43539,50,43539,95664,0,1,1.5,0.0
155,uncontrolled,18.21072,0,0,50,2,148,1,0,1.5,0.0
156,uncontrolled,39.99991,0,18807,51,18808,41551,0,1,1.5,0.0
157,uncontrolled,40.0,0,77113,51,77115,169854,0,1,1.5,0.0
158,uncontrolled,40.0,0,81217,50,81218,179200,0,1,1.5,0.0
159,uncontrolled,5.87196,0,0,50,1,199,1,0,1.5,0.0
160,uncontrolled,5.87355,0,0,50,1,125,1,0,1.5,0.0
161,uncontrolled,39.99999,0,3240,50,3240,7531,0,1,1.5,0.0
162,uncontrolled,39.99981,0,11872,51,11872,26003,0,1,1.5,0.0
163,uncontrolled,39.99993,0,19314,57,19314,43032,0,1,1.5,0.0
164,uncontrolled,39.99995,0,2687,50,2687,5814,0,1,1.5,0.0
165,uncontrolled,40.0,0,78281,50,78282,172540,0,1,1.5,0.0
166,uncontrolled,39.99999,0,15196,50,15198,33615,0,1,1.5,0.0
167,uncontrolled,39.99998,0,154937,53,154937,340530,0,1,1.5,0.0
168,uncontrolled,39.99971,0,6623,50,6623,14614,0,1,1.5,0.0
169,uncontrolled,39.99896,0,4326,51,4326,9749,0,1,1.5,0.0
170,uncontrolled,11.64733,0,0,50,4,151,1,0,1.5,0.0
171,uncontrolled,39.99997,0,94239,51,94240,206656,0,1,1.5,0.0
172,uncontrolled,39.99986,0,31046,50,31047,68305,0,1,1.5,0.0
173,uncontrolled,6.48551,0,0,50,1,167,1,0,1.5,0.0
174,uncontrolled,39.99999,0,46327,50,46329,101811,0,1,1.5,0.0
175,uncontrolled,39.99975,0,8926,51,8926,19519,0,1,1.5,0.0
176,uncontrolled,4.78877,0,0,50,2,177,1,0,1.5,0.0
177,uncontrolled,5.84875,0,0,50,1,145,1,0,1.5,0.0
178,uncontrolled,4.71574,0,0,50,1,147,1,0,1.5,0.0
179,uncontrolled,39.99988,0,23689,50,23689,52974,0,1,1.5,0.0
180,uncontrolled,39.99845,0,3023,50,3025,6660,0,1,1.5,0.0
